190	PE	0
100.025	104534	82562.5
71.9758	89378.2	73216.1
51.7936	76093.6	64525.8
37.2792	64619	56705.2
26.8274	54643.1	49515.9
19.3067	46049.6	43081.5
13.8949	38712.5	37366.4
10	32428.8	32248.9
7.19676	27084	27735.2
5.1795	22565.6	23772.1
3.72757	18739.2	20297.1
2.6827	15522	17283.3
1.93069	12817	14663.3
1.3895	10556.8	12406.7
1	8677.23	10474.1
0.719682	7115.33	8818.54
0.517947	5817.43	7401.95
0.372759	4747.58	6200.23
0.268269	3865.32	5182.19
0.19307	3139.79	4322.51
0.138949	2542.09	3595.97
0.1	2052.24	2986.17
