190	PE	0
500	3.31E+05	2.24E+05
340	2.73E+05	2.06E+05
231	2.23E+05	1.86E+05
157	1.79E+05	1.64E+05
107	1.42E+05	1.43E+05
72.4	1.10E+05	1.23E+05
49.2	84101	1.04E+05
33.4	63028	86015
22.7	46295	70200
15.4	33261	56395
10.5	23392	44545
7.13	16211	34629
4.84	11004	26502
3.29	7309.4	20044
2.24	4756.5	14900
1.52	3076.9	10954
1.03	1933.5	7969.3
0.701	1203.1	5735.8
0.477	739.08	4092.2
0.324	449.57	2896.9
0.22	270.7	2037.8
0.15	161.63	1425.8
0.102	95.576	989.76
0.069	56.216	686.57
0.0469	33.309	474.79
0.0319	19.62	327.57
0.0217	11.518	225.69
0.0147	6.8353	155.19
0.01	4.195	106.55
