170	PS	0
68290.2927315733	1155998.7558654920	2074401.7778388378
46525.630115679	956660.8716267108	1531923.7133289916
31697.5539839943	808276.2188477268	1149452.5319416344
21595.30268992	692783.6584074703	875423.3058830998
14712.6655369683	597294.6412361823	672758.6521092433
10023.6491671403	519587.7438056027	522131.1127727409
6829.0292731573	448566.5799890615	401927.4174102328
4652.5630115679	397076.7727978005	317180.6463828489
3169.7553983994	354118.5197368131	252448.1501390627
2159.530268992	318983.5408405671	203169.0349614324
1471.2665536968	289332.3659198805	165737.5119345215
1002.364916714	264671.3453018068	136343.8933649376
682.9029273157	243036.6118091886	114355.0198895533
465.2549353509	224546.212102948	97902.2128659731
316.9762227429	207418.7147546252	85501.1965058219
215.9543927051	191503.8785594106	76128.7208891984
147.1246066609	176887.5556343381	69208.2890502179
100.2364916714	162732.6878383246	64218.9932687754
68.2902927316	149210.9794054382	60406.7300118718
21412.2670210798	718939.52044681	871156.392634991
14588.0062233255	610791.8621456174	670085.9528205831
9938.6964482374	527129.4630921287	520601.4782123675
6771.158375542	460584.4185279168	408371.1713870244
4613.1230438225	405617.5100126625	322656.8161742623
3142.8925533541	361314.3943873115	257419.4949654422
2141.226702108	324368.55162319	206939.2470678741
1458.8006223325	294184.5954771925	168515.5705931876
993.8696448237	268582.987023666	139033.3196622785
677.1158375542	246925.8124307118	116748.8631346242
461.3123043822	227554.495735394	99512.7503536426
314.2892553354	210192.6076105564	86701.633186597
214.1226702108	194840.1480561991	77130.0550958759
145.8796339879	179902.3324925759	70092.9086592876
99.387178605	165730.0135272308	64949.8347085779
67.7120120008	152004.2342442147	60938.7388525721
46.1305880702	138724.9946435276	57731.4144247584
31.4289255335	125456.3869400387	55108.1001100478
21.4122670211	112496.1042553008	52717.8369819241
7659.5727506641	486222.4883550798	434328.1351541194
5218.4056384454	430725.2385250637	348775.1423922439
3555.2596283755	380358.4292165393	277391.4360808945
2422.171371797	339999.6660998363	223105.6865793621
1650.2013321213	307120.6006633367	181345.7969958041
1124.2720883425	279582.6714576301	149098.818687209
765.9572750664	252086.8813937839	122224.5809658022
521.8405638445	231860.0933008396	103600.1337420958
355.5259628375	214203.7928613736	89594.241814133
242.2171371797	198254.1276672498	79201.8866485456
165.0201332121	183231.5235940526	71418.5764512388
112.4272088342	168925.2849324805	65721.996558854
76.5957275066	155208.9942569526	61305.3931004759
52.183903193	141945.6993564229	58025.4929937794
35.5526728795	128840.4262378694	55312.2589972493
24.2218669094	116198.6836797792	52922.6536102063
16.501783534	103684.6227215257	50547.9022706691
11.2427208834	91324.2642832077	48211.708245934
7.6595727507	79549.2185253292	45683.6757778799
1342.6387699012	293958.1692353007	162283.3697591249
914.7290528235	267488.6889162392	134830.8555736401
623.1978687986	245241.0803603431	113483.4990848896
424.5799729283	226066.7461026336	97197.8357129772
289.2621245038	208910.2182023193	85030.9807641295
197.0725186461	193243.7626890045	75974.7554003924
134.2638769901	178529.297867384	69217.2771253495
91.4729052824	164352.9147410688	64143.8910793633
62.3197868799	150600.7883360521	60295.5721854387
42.4579972928	137293.6141021533	57223.7465687395
28.9262124504	124193.3943664489	54670.6524017645
19.7072518646	111403.606378036	52362.4888834026
13.426387699	98930.2518173624	50133.4854606
9.1472636755	85475.6225035001	46892.681496125
6.2319921144	74122.6161188018	44348.4863725724
4.2458265821	63330.9738104557	41537.9408098436
2.8925809659	53277.8486289163	38341.3216307332
1.9707251865	44074.3751397139	35040.8112935291
1.3426387699	35796.4021664368	31537.4855480946
100.0	170210.0	66276.1
68.1292	156030.0	62156.5
46.4159	142340.0	58762.9
31.6228	129070.0	55931.6
21.5443	116150.0	53458.0
14.678	103490.0	51098.2
10.0	91239.8	48675.9
6.81292	79460.6	46096.4
4.64159	68269.5	43285.9
3.16228	57805.4	40247.2
2.15443	48118.9	36941.2
1.4678	38678.6	32857.1
1.0	30984.1	29263.5
0.68129	24306.4	25583.6
0.46416	18643.8	21971.7
0.31623	13936.3	18505.2
0.21544	10173.7	15273.0
0.14678	7233.79	12352.7
0.1	5004.79	9790.06
15.8119527264	103169.9717170769	51167.4253948215
10.7725568969	90797.9999163021	48676.8786493818
7.3392601655	79053.7245268941	45978.8105510326
5.0001821868	67971.7163015306	43088.2308103204
3.4065745312	57594.8739613217	39995.552579864
2.3208784212	47988.2718642493	36674.9204227866
1.5811952726	39276.8295367965	33178.2388865261
1.0772556897	31490.566400056	29531.5570816437
0.7339260166	24750.6253436638	25866.5731135789
0.5000182187	19034.830730748	22264.6299298091
0.3406574531	14034.4667082638	18485.3784879071
0.2320878421	10272.7427348063	15293.3456573177
0.1581195273	7322.6858055935	12409.2539850352
0.1077252527	5080.5836625916	9857.0221710919
0.0733927598	3431.4619230153	7682.6670829176
0.0500021381	2252.9962877533	5877.638027343
0.034065271	1438.1239440307	4416.9607827558
0.0232087842	889.7649891386	3259.1988643636
0.0158119527	537.3302069299	2379.1359584485
