190	PE	0
500	2.09E+05	1.97E+05
340	1.61E+05	1.72E+05
231	1.22E+05	1.47E+05
157	8.98E+04	1.23E+05
107	6.45E+04	1.01E+05
72.4	4.50E+04	8.12E+04
49.2	30487	6.38E+04
33.4	20079	4.91E+04
22.7	12832	37058
15.4	7968.1	27459
10.5	4809.8	20013
7.13	2824	14375
4.84	1615.5	10196
3.29	902.4	7157.3
2.24	493.03	4981.8
1.52	264.34	3445.1
1.03	139.7	2370.2
0.701	73.137	1624.9
0.477	37.537	1110.6
0.324	19.422	757.88
0.22	9.9098	516.53
0.15	5.3073	351.64
0.102	2.7903	239.33
0.069	1.5143	162.74
0.0469	0.79105	110.64
0.0319	0.43761	75.237
0.0217	0.39748	51.136
0.0147	0.227	34.887
0.01	0.20438	23.764
