190	PE	0
500	2.36E+05	1.27E+05
340	2.07E+05	1.16E+05
231	1.81E+05	1.06E+05
157	1.56E+05	9.65E+04
107	1.34E+05	86937
72.4	1.14E+05	77768
49.2	9.72E+04	69092
33.4	81943	60993
22.7	68682	53465
15.4	57237	46581
10.5	47381	40277
7.13	38998	34620
4.84	31911	29573
3.29	25952	25101
2.24	20982	21174
1.52	16861	17751
1.03	13468	14794
0.701	10693	12255
0.477	8435.7	10090
0.324	6618	8261.4
0.22	5160.9	6722.9
0.15	4001.1	5438.7
0.102	3084.3	4372.3
0.069	2365.7	3496.8
0.0469	1805.3	2780
0.0319	1373.9	2197.3
0.0217	1040.5	1730.7
0.0147	785.61	1354.1
0.01	591.07	1053.3
