Frequency (rad/s)	G'	G''
2.61e-05	62.07368421052631	456.6
3.691097397793778e-05	105.14688053315211	659.9672727318366
5.22e-05	154.37966942148762	895.0992248062016
7.382194795587556e-05	225.64230369904215	1203.9928900822047
0.0001044	343.30140845070423	1628.5967332123412
0.00014764389591175113	575.8134825959295	2164.78964949017
0.0002088	856.2905063291139	2798.0603773584908
0.00029528779182350225	1324.2130721163512	3641.9413423633846
0.0004176	1897.8410788381743	4747.835658914729
0.0005905755836470045	2627.783687008314	5992.18714437535
0.0008352	3637.3503250975295	7520.5249315068495
0.001181151167294009	4941.710960426747	9352.066900539285
0.0016704	6496.116182572614	11531.236363636364
0.002362302334588018	8870.606452443652	13422.030441776527
0.0033408	12339.152459814904	16149.57204426325
0.004724604669176036	15776.75782406127	19128.693799647364
0.0066816	20010.34965034965	20972.034200743496
0.009449209338352072	25111.236873191192	22175.789935268374
0.0133632	31149.431670281996	23918.729745042492
0.018898418676704144	37930.46558306642	26474.652250149506
0.0267264	45123.28652751423	29384.52518579686
0.03779683735340829	51853.884626409446	32165.77418594733
0.0534528	61033.59796437659	33367.20705882353
0.07559367470681658	71102.72784777582	34523.059680831524
0.1069056	79709.31016324382	35493.97209302326
0.15118734941363315	84761.64246425514	37428.01819593148
0.2138112	92957.25777287762	39007.53414043583
0.3023746988272663	102556.8952098424	40229.22996378966
0.4276224	113942.99434652478	41805.7529856387
0.6047493976545326	123367.77639664955	41872.69440576513
0.8552448	131628.63096680396	41135.0008583691
1.2094987953090652	138066.49131286162	39915.83304650216
1.7104896	146288.38819672132	40035.116571428574
2.4189975906181305	155580.2962704017	41157.15800811156
3.4209792	159677.64625592416	43512.608543007605
4.837995181236261	165332.72092131956	45585.4815407201
6.8419584	174231.89309035687	51709.776330662164
9.675990362472522	187860.49528903517	60700.43829667519
13.6839168	196815.32422960724	67993.35533940539
19.351980724945044	206969.3288935235	78574.00975454637
27.3678336	221899.23347280335	92562.64467183463
38.70396144989009	245276.79985865357	109552.19028665697
54.7356672	260372.56798493408	129512.89613559321
77.40792289978017	275683.5528824207	154992.9248292309
109.4713344	292537.31774530275	185850.80938967137
154.81584579956035	312920.6701753143	224920.5397751094
218.9426688	344345.1164734694	283203.09994366195
309.6316915991207	379510.24776292435	340682.0580557807
437.8853376	418533.4653644172	428744.10058398166
619.2633831982414	465550.65249697777	543936.7490896863
875.7706752	529195.8636950998	688349.834302902
1238.5267663964828	598323.6124711991	878141.731200871
1751.5413504	682231.20256	1118080.233333697
2477.0535327929656	787074.6346067876	1421281.4752380531
3503.0827008	917440.849332844	1821712.474630456
4954.107065585931	1038581.4155672658	2426892.3745896704
