2000.0	0.44067
2021.3	0.44114
2042.9	0.45031
2064.7	0.46611
2086.8	0.47241
2109.0	0.47003
2131.5	0.47207
2154.3	0.47637
2177.3	0.4628
2200.5	0.44957
2224.0	0.44624
2247.7	0.45158
2271.7	0.47498
2296.0	0.4929
2320.5	0.50885
2345.2	0.51155
2370.3	0.52013
2395.6	0.51882
2421.1	0.51853
2447.0	0.50995
2473.1	0.50873
2499.5	0.52522
2526.2	0.53581
2553.1	0.53195
2580.4	0.53126
2607.9	0.5355
2635.7	0.53664
2663.9	0.54202
2692.3	0.55055
2721.0	0.56034
2750.1	0.57378
2779.4	0.58351
2809.1	0.59973
2839.1	0.60355
2869.4	0.60194
2900.0	0.61203
2930.9	0.61633
2962.2	0.6205
2993.8	0.63674
3025.8	0.64275
3058.1	0.6531
3090.7	0.65887
3123.7	0.65858
3157.0	0.65683
3190.7	0.66531
3224.8	0.67949
3259.2	0.68316
3294.0	0.68602
3329.1	0.69328
3364.6	0.69978
3400.6	0.70918
3436.8	0.72858
3473.5	0.74662
3510.6	0.75302
3548.1	0.7609
3585.9	0.76927
3624.2	0.77798
3662.9	0.78746
3702.0	0.79176
3741.5	0.80544
3781.4	0.83404
3821.8	0.84695
3862.5	0.84891
3903.8	0.85562
3945.4	0.86872
3987.5	0.87613
4030.1	0.88233
4073.1	0.89746
4116.6	0.91109
4160.5	0.91282
4204.9	0.91571
4249.8	0.92722
4295.1	0.93939
4341.0	0.95158
4387.3	0.95716
4434.1	0.96559
4481.5	0.97602
4529.3	0.9892
4577.6	0.99097
4626.5	1.0129
4675.9	1.033
4725.8	1.041
4776.2	1.0533
4827.2	1.0666
4878.7	1.078
4930.7	1.0909
4983.4	1.1089
5036.6	1.1222
5090.3	1.1354
5144.6	1.1595
5199.5	1.1726
5255.0	1.1814
5311.1	1.1911
5367.8	1.1974
5425.1	1.2088
5483.0	1.2221
5541.5	1.2388
5600.6	1.2609
5660.4	1.2798
5720.8	1.2979
5781.9	1.3208
5843.6	1.3454
5905.9	1.3684
5969.0	1.3899
6032.7	1.4106
6097.1	1.4306
6162.1	1.454
6227.9	1.4778
6294.4	1.4989
6361.5	1.5231
6429.4	1.5476
6498.0	1.5722
6567.4	1.5904
6637.5	1.6009
6708.3	1.612
6779.9	1.636
6852.3	1.67
6925.4	1.7013
6999.3	1.7257
7074.0	1.7582
7149.5	1.7954
7225.8	1.8258
7302.9	1.847
7380.9	1.873
7459.6	1.9076
7539.2	1.9373
7619.7	1.9548
7701.0	1.9726
7783.2	1.9968
7866.3	2.0305
7950.2	2.0721
8035.1	2.11
8120.8	2.1421
8207.5	2.1662
8295.1	2.2003
8383.6	2.2487
8473.1	2.2856
8563.5	2.3246
8654.9	2.3603
8747.3	2.3869
8840.6	2.4186
8935.0	2.4479
9030.3	2.4821
9126.7	2.5234
9224.1	2.5619
9322.6	2.5984
