1725.837892	0.019
1745.822153	0.0191
1770.108958	0.0193
1794.733627	0.0195
1815.515663	0.0196
1840.772001	0.0197
1866.379691	0.0196
1887.991349	0.0195
1914.255925	0.0195
1936.421964	0.0195
1963.360277	0.0194
1990.673339	0.0194
2013.72425	0.0194
2041.737945	0.0194
2070.141349	0.0195
2094.112456	0.0198
2123.244462	0.0201
2147.830474	0.0204
2177.709772	0.0206
2208.004733	0.0208
2233.572223	0.021
2264.644308	0.0213
2296.148648	0.0215
2322.736796	0.0218
2355.049284	0.0221
2387.811283	0.0223
2415.460834	0.0225
2449.063242	0.0227
2483.133105	0.0229
2511.886432	0.0231
2546.830253	0.0233
2582.260191	0.0234
2612.161354	0.0235
2648.500139	0.0236
2685.344446	0.0237
2716.439269	0.0238
2754.228703	0.0239
2792.543841	0.0241
2831.391996	0.0242
2864.17797	0.0243
2904.022654	0.0244
2944.421634	0.0246
2985.382619	0.0247
3019.95172	0.0249
3061.963434	0.0251
3104.559588	0.0252
3147.748314	0.0255
3184.197522	0.0258
3228.494122	0.0261
3273.406949	0.0264
3318.944576	0.0267
3357.376142	0.0269
3404.081897	0.0271
3451.437393	0.0273
3499.45167	0.0276
3548.133892	0.0279
3589.219346	0.0283
3639.150361	0.0286
3689.775986	0.0288
3741.105883	0.0291
3793.14985	0.0294
3837.072455	0.0298
3890.45145	0.0302
3944.573021	0.0307
3999.447498	0.0312
4055.085354	0.0317
4111.497211	0.0322
4159.106105	0.0328
4216.965034	0.0333
4275.628862	0.0336
4335.108784	0.034
4395.416154	0.0344
4456.562484	0.0347
4518.559444	0.0352
4581.418867	0.0356
4634.469197	0.0362
4698.941086	0.0367
4764.309868	0.0372
4830.58802	0.0376
4897.788194	0.038
4965.923215	0.0384
5035.006088	0.0391
5105.05	0.0398
5176.06832	0.0405
5248.074602	0.0411
5321.082593	0.0417
5395.106225	0.0422
5470.159629	0.0427
5546.25713	0.0433
5623.413252	0.0438
5701.642723	0.0444
5780.960474	0.0451
5847.900841	0.0456
5942.921586	0.046
6011.737375	0.0464
6165.950019	0.05
6165.950019	0.05
6309.573445	0.05
6309.573445	0.05
6456.54229	0.05
6606.93448	0.05
6606.93448	0.05
6760.829754	0.05
6760.829754	0.05
6918.309709	0.05
7079.457844	0.06
7079.457844	0.06
7244.359601	0.06
7244.359601	0.06
7413.102413	0.06
7585.77575	0.06
7585.77575	0.06
7762.471166	0.06
7943.282347	0.06
7943.282347	0.06
8128.305162	0.06
8128.305162	0.06
8317.637711	0.07
8511.380382	0.07
8511.380382	0.07
8709.6359	0.07
8709.6359	0.07
8912.509381	0.07
9120.108394	0.07
9120.108394	0.07
9332.543008	0.07
9549.92586	0.08
9549.92586	0.07
9772.37221	0.08
9772.37221	0.08
10000	0.08
10232.92992	0.08
10232.92992	0.08
10471.28548	0.08
10471.28548	0.08
10715.19305	0.09
10964.78196	0.09
10964.78196	0.09
11220.18454	0.09
11481.53621	0.09
11481.53621	0.09
11748.97555	0.09
11748.97555	0.09
12022.64435	0.09
12302.68771	0.1
